,,,General (no gender split),,,,,,Male (if gender split),,,,,,Female (if gender split),,,,,
Uric Acid,Marker,Yes,What is Uric Acid?,"Uric acid is a waste product created when your body breaks down purines—compounds found in certain foods and naturally in your cells.
 
 Normally, your kidneys filter it out. But when levels get too high, uric acid can form crystals in your joints (causing gout) or signal metabolic issues.",Why does it matter?,"Beyond gout, elevated uric acid is linked to metabolic syndrome, heart disease, and kidney stones. It's often one of the earliest signs that your metabolism is under stress.
 
 Foods high in purines include red meat, organ meats, shellfish, and beer.",Why is an optimal level important?,"Optimal uric acid (under 6 mg/dL) indicates efficient purine metabolism and healthy kidney clearance. At this level, crystal formation risk is minimal.
 
 Reducing alcohol, fructose, and purine-rich foods can often normalize elevated levels.",What is Uric Acid?,"Uric acid is a waste product created when your body breaks down purines—compounds found in certain foods and naturally in your cells.
 
 Men typically have higher uric acid levels than women, and gout affects men much more commonly.",Why does it matter?,"Beyond gout, elevated uric acid is linked to metabolic syndrome, heart disease, and kidney stones. For men, optimal is under 7 mg/dL, with under 6 being ideal.
 
 Foods high in purines include red meat, organ meats, shellfish, and beer.",Why is an optimal level important?,"For men, keeping uric acid under 6 mg/dL virtually eliminates gout risk and indicates healthy metabolic function.
 
 Lifestyle changes—reducing alcohol, fructose, and purine-rich foods—can often normalize levels without medication.",What is Uric Acid?,"Uric acid is a waste product created when your body breaks down purines. Women typically have lower levels than men due to estrogen's effect on kidney excretion.
 
 After menopause, uric acid levels often rise as estrogen declines.",Why does it matter?,"Beyond gout (less common in women), elevated uric acid signals metabolic stress and increased cardiovascular risk. For women, optimal is under 6 mg/dL.
 
 Levels may rise after menopause, making monitoring more important.",Why is an optimal level important?,"For women, optimal uric acid (under 5 mg/dL) indicates healthy metabolism and kidney function.
 
 Post-menopausal women should pay particular attention to rising levels as a marker of metabolic and cardiovascular risk."
Apolipoprotein B,Marker,No,What is Apolipoprotein B?,"ApoB is a protein that sits on the surface of 'bad' cholesterol particles. Since each particle has exactly one ApoB molecule, measuring ApoB tells you the actual number of dangerous particles in your blood.
 
 Think of it as counting bullets rather than measuring gunpowder.",Why does it matter?,"Two people can have the same LDL cholesterol but vastly different ApoB counts. The person with more particles has higher risk.
 
 Many cardiologists now consider ApoB the single best predictor of cardiovascular disease. Target: under 90 mg/dL.",Why is an optimal level important?,"Optimal ApoB under 80 mg/dL (or under 60 if you have risk factors) means fewer particles available to penetrate artery walls and form plaques.
 
 ApoB responds to diet, lifestyle, and medications. It's the most actionable cardiovascular risk marker.",,,,,,,,,,,,
Lipoprotein (a),Marker,No,What is Lipoprotein (a)?,"Lp(a) is a sticky variant of LDL cholesterol. It's almost entirely determined by your genes—you're born with your level, and lifestyle changes barely move it.
 
 It acts like LDL's more dangerous cousin: more inflammatory, more likely to cause clots.",Why does it matter?,"Elevated Lp(a) is an independent risk factor for heart disease. About 20% of people have high levels.
 
 Target: under 30 mg/dL is low risk. Because it's genetic, knowing your level helps you manage other risk factors more aggressively if needed.",Why is an optimal level important?,"Optimal Lp(a) under 30 mg/dL means this genetic risk factor isn't adding to your cardiovascular burden.
 
 If elevated, it can't be changed much through lifestyle—but knowing allows you to be more aggressive about controlling every other risk factor you can modify.",,,,,,,,,,,,
ALP,Marker,No,What is ALP?,"Alkaline phosphatase (ALP) is an enzyme found mainly in your liver, bones, and bile ducts. When these tissues are damaged or actively growing, ALP leaks into your blood.
 
 It's not specific to one organ, so elevated levels need context from other markers.",Why does it matter?,"High ALP can indicate bile duct obstruction, liver disease, or bone conditions.
 
 Moderately elevated ALP with normal liver enzymes often points to bone issues. Elevated ALP with elevated GGT typically suggests liver or bile duct problems.",Why is an optimal level important?,"Optimal ALP in the mid-normal range indicates healthy liver, bone, and bile duct function without active tissue damage or turnover.
 
 Very low ALP is also worth noting—it can indicate nutritional deficiencies (zinc, magnesium) or rare genetic conditions.",,,,,,,,,,,,
Bilirubin - Total,Marker,No,What is Bilirubin?,"Bilirubin is a yellow pigment created when your body breaks down old red blood cells. Your liver processes it for excretion.
 
 Mildly elevated bilirubin with no other abnormalities is often Gilbert's syndrome—a harmless genetic condition affecting about 5% of people.",Why does it matter?,"High bilirubin can indicate liver problems, bile duct blockage, or excessive red blood cell breakdown.
 
 Interestingly, mildly elevated bilirubin from Gilbert's syndrome may actually be protective—bilirubin is a potent antioxidant.",Why is an optimal level important?,"Optimal bilirubin in the low-normal range indicates healthy red blood cell turnover and liver processing.
 
 If mildly elevated with normal liver enzymes, Gilbert's syndrome is likely—and associated with cardiovascular protection due to bilirubin's antioxidant properties.",,,,,,,,,,,,
Albumin,Marker,No,What is Albumin?,"Albumin is the most abundant protein in your blood, made by your liver. It acts like a cargo ship—transporting hormones, vitamins, and medications throughout your body.
 
 Your albumin level reflects both Liver Health and nutritional status.",Why does it matter?,"Low albumin can indicate liver disease, malnutrition, kidney disease, or chronic inflammation. It's also a component of the PhenoAge biological age calculation.
 
 Higher albumin (within range) is associated with better longevity.",Why is an optimal level important?,"Optimal albumin in the upper-normal range (4.0-5.0 g/dL) is strongly associated with longevity and overall health.
 
 Maintaining optimal albumin requires adequate protein intake and healthy Liver Health—both fundamental to healthy aging.",,,,,,,,,,,,
GGT,Marker,Yes,What is GGT?,"GGT (gamma-glutamyl transferase) is a liver enzyme particularly sensitive to alcohol and bile duct problems. It's often one of the first markers to rise when the liver is stressed.
 
 Unlike ALT and AST, GGT isn't found in muscles—making it more specific to liver issues.",Why does it matter?,"Elevated GGT is a sensitive marker for alcohol use, fatty liver, and bile duct obstruction.
 
 Research also links elevated GGT to cardiovascular disease and diabetes risk. For optimal health, lower is generally better.",Why is an optimal level important?,"Optimal GGT in the lower portion of normal indicates healthy Liver Health without oxidative stress.
 
 GGT responds quickly to reducing alcohol, improving diet, and losing excess weight—often one of the first markers to improve.",What is GGT?,"GGT (gamma-glutamyl transferase) is a liver enzyme particularly sensitive to alcohol and bile duct problems. Men typically have higher GGT than women.
 
 It's often one of the first markers to rise when the liver is stressed.",Why does it matter?,"Elevated GGT is a sensitive marker for alcohol use, fatty liver, and bile duct obstruction. For men, optimal is under 30 U/L.
 
 Research links elevated GGT to cardiovascular disease and diabetes risk—independent of alcohol use.",Why is an optimal level important?,"For men, GGT under 25 U/L indicates minimal liver stress and is associated with lower cardiovascular risk.
 
 GGT responds quickly to reducing alcohol, improving diet, and losing excess weight.",What is GGT?,"GGT (gamma-glutamyl transferase) is a liver enzyme particularly sensitive to alcohol and bile duct problems. Women typically have lower GGT than men.
 
 It's often one of the first markers to rise when the liver is stressed.",Why does it matter?,"Elevated GGT is a sensitive marker for fatty liver and bile duct issues. For women, optimal is under 20 U/L.
 
 Even within 'normal' range, higher GGT is linked to metabolic and cardiovascular risk.",Why is an optimal level important?,"For women, GGT under 15 U/L indicates healthy Liver Health and minimal oxidative stress.
 
 GGT responds quickly to lifestyle improvements—it's often one of the first markers to normalize."
Urea (BUN),Marker,No,What is Urea?,"Urea (measured as BUN—blood urea nitrogen) is a waste product created when your body breaks down protein. Your kidneys filter it out and excrete it in urine.
 
 It reflects both kidney function and protein metabolism.",Why does it matter?,"High BUN can indicate kidney problems, dehydration, high protein diet, or internal bleeding. Low BUN might suggest liver issues or inadequate protein intake.
 
 The BUN/Creatinine ratio helps distinguish kidney problems from dehydration.",Why is an optimal level important?,"Optimal BUN (10-20 mg/dL) indicates healthy kidney function, adequate hydration, and balanced protein intake.
 
 Dehydration is the most common cause of mild elevation—often resolved simply by drinking more water.",,,,,,,,,,,,
Sodium,Marker,No,What is Sodium?,"Sodium is an essential electrolyte that helps regulate fluid balance, blood pressure, nerve function, and muscle contractions.
 
 Despite concerns about dietary sodium, blood sodium levels are rarely affected by salt intake alone—your kidneys adjust.",Why does it matter?,"Abnormal sodium usually reflects a problem with fluid balance or hormones, not diet. Low sodium can cause confusion and fatigue. High sodium is often from dehydration.
 
 Both extremes can be serious. When it drifts, it's worth investigating why.",Why is an optimal level important?,"Optimal sodium (138-142 mEq/L) ensures proper nerve function, muscle contraction, and fluid balance.
 
 Persistent abnormalities warrant investigation—they often point to underlying conditions affecting hormone regulation or kidney function.",,,,,,,,,,,,
Potassium,Marker,No,What is Potassium?,"Potassium is an electrolyte critical for heart rhythm, muscle function, and nerve signaling. Most of your body's potassium is inside cells.
 
 Small changes in blood potassium can have big effects on your heart.",Why does it matter?,"Both high and low potassium can cause dangerous heart rhythm problems. This is why it's monitored closely with certain medications.
 
 Bananas get all the credit, but potatoes, spinach, and beans are even better potassium sources.",Why is an optimal level important?,"Optimal potassium (4.0-4.5 mEq/L) ensures stable heart rhythm and proper muscle and nerve function.
 
 Most people don't get enough potassium from diet. If low, increasing potassium-rich foods can help—but supplements should only be taken under medical guidance.",,,,,,,,,,,,
Chloride,Marker,No,What is Chloride?,"Chloride is an electrolyte that works alongside sodium to maintain fluid balance and blood pressure. It's also essential for producing stomach acid.
 
 Chloride typically moves in the same direction as sodium—they're partners in fluid regulation.",Why does it matter?,"Abnormal chloride levels usually indicate fluid or acid-base imbalances. Low chloride can result from vomiting or certain medications.
 
 It's rarely concerning in isolation—context from other electrolytes tells the full story.",Why is an optimal level important?,"Optimal chloride maintains proper acid-base balance and supports healthy stomach acid production for digestion.
 
 Chloride abnormalities are usually secondary to other issues—treating the underlying cause normalizes chloride.",,,,,,,,,,,,
Bicarbonate (CO2),Marker,No,What is Bicarbonate?,"Bicarbonate is your body's main buffer—it helps maintain proper blood pH. Despite being labeled 'CO2' on some panels, it's measuring bicarbonate.
 
 Your kidneys and lungs work together to keep bicarbonate levels stable.",Why does it matter?,"Low bicarbonate can indicate metabolic acidosis—your body is too acidic. High bicarbonate might suggest metabolic alkalosis.
 
 Your body fights hard to keep pH in range. Abnormal bicarbonate means something is challenging that system.",Why is an optimal level important?,"Optimal bicarbonate (23-28 mEq/L) indicates your body is maintaining proper acid-base balance—essential for enzyme function and cellular health.
 
 Abnormalities often point to kidney issues, respiratory problems, or metabolic conditions that warrant further evaluation.",,,,,,,,,,,,
TSH,Marker,No,What is TSH?,"TSH (thyroid-stimulating hormone) is your pituitary gland's signal to your thyroid. When thyroid hormone is low, TSH goes up. When thyroid hormone is high, TSH drops.
 
 This feedback loop makes TSH the primary screening test for thyroid problems.",Why does it matter?,"High TSH suggests hypothyroidism (underactive thyroid). Low TSH suggests hyperthyroidism (overactive thyroid).
 
 Optimal TSH is debated, but most longevity-focused practitioners prefer levels between 1.0-2.5 mIU/L.",Why is an optimal level important?,"Optimal TSH (1.0-2.5 mIU/L) indicates your thyroid is producing adequate hormone without your pituitary having to 'shout' for more.
 
 Thyroid function affects every cell in your body—metabolism, energy, weight, mood, cognition. Optimization can be transformative.",,,,,,,,,,,,
Free T4,Marker,No,What is Free T4?,"Free T4 is the unbound, active form of thyroxine—one of two main thyroid hormones. Your thyroid produces mostly T4, which then gets converted to the more potent T3.
 
 'Free' means it's not attached to carrier proteins—so it's available for your cells to use.",Why does it matter?,"Free T4 confirms what TSH is suggesting. High TSH with low Free T4 confirms hypothyroidism. Low TSH with high Free T4 confirms hyperthyroidism.
 
 For people on thyroid medication, Free T4 helps ensure the dose is right.",Why is an optimal level important?,"Optimal Free T4 in the upper half of normal ensures adequate substrate for T3 conversion—supporting metabolism, energy, and cognitive function.
 
 If Free T4 is optimal but symptoms persist, the issue may be with T4-to-T3 conversion.",,,,,,,,,,,,
Free T3,Marker,No,What is Free T3?,"Free T3 is the active form of thyroid hormone—about 4× more potent than T4. It's what actually enters your cells and controls your metabolism, energy, and body temperature.
 
 Most T3 is made by converting T4 in tissues like your liver and gut.",Why does it matter?,"You can have normal TSH and T4 but still feel hypothyroid symptoms if T3 is low—this is a conversion problem.
 
 Free T3 is the most complete picture of what your cells are actually receiving.",Why is an optimal level important?,"Optimal Free T3 in the upper half of normal (3.0-4.0 pg/mL) indicates your tissues are receiving adequate active thyroid hormone.
 
 Low Free T3 despite normal T4 suggests conversion issues—often improved by addressing selenium status, gut health, or chronic stress.",,,,,,,,,,,,
Total Testosterone,Marker,Yes,What is Total Testosterone?,"Total testosterone measures all the testosterone in your blood—bound to proteins and free. For men, it's the primary male hormone. For women, it's important for energy and libido in smaller amounts.
 
 It's the starting point for any hormone evaluation.",Why does it matter?,"Low testosterone can cause fatigue, low libido, depression, and loss of muscle mass. In women, high testosterone may indicate PCOS.
 
 Testosterone naturally declines about 1-2% per year after 30. Knowing your level helps determine if symptoms are testosterone-related.",Why is an optimal level important?,"Optimal testosterone supports energy, mood, muscle mass, bone density, and sexual function.
 
 For both men and women, levels in the upper portion of the age-appropriate range are associated with better quality of life and metabolic health.",What is Total Testosterone?,"Total testosterone measures all the testosterone in your blood. For men, it's the primary hormone driving muscle mass, bone density, mood, libido, and energy.
 
 It's the starting point for any hormone evaluation.",Why does it matter?,"Low testosterone causes fatigue, low libido, depression, erectile dysfunction, and loss of muscle mass. The 'normal' range (300-1000 ng/dL) is wide—optimal is different from normal.
 
 Testosterone naturally declines about 1-2% per year after 30.",Why is an optimal level important?,"Optimal testosterone for men (500-900 ng/dL) supports energy, mood, muscle mass, bone density, and sexual function.
 
 If you're at the lower end of 'normal' with symptoms, optimization through lifestyle or treatment can be transformative.",What is Total Testosterone?,"Total testosterone measures all the testosterone in your blood. For women, small amounts support energy, libido, muscle tone, and bone density.
 
 Women produce testosterone in the ovaries and adrenal glands—about 1/10th to 1/20th of male levels.",Why does it matter?,"Low testosterone in women can cause fatigue, low libido, and depression. High testosterone may indicate PCOS and can cause acne, unwanted hair growth, or irregular periods.
 
 Normal range for women: 15-70 ng/dL.",Why is an optimal level important?,"Optimal testosterone for women supports healthy energy, mood, and libido without excess androgenic effects.
 
 Both low and high levels are actionable—low may benefit from DHEA or other support; high warrants evaluation for PCOS or other causes."
Estradiol,Marker,Yes,What is Estradiol?,"Estradiol is the primary estrogen in your body. In women, it regulates the menstrual cycle and supports bone health. In men, small amounts are important for bone health and libido.
 
 In women, levels fluctuate dramatically throughout the menstrual cycle.",Why does it matter?,"For women: Low estradiol can cause hot flashes, bone loss, and vaginal dryness. For men: Too much can cause water retention and mood issues.
 
 It's particularly important to monitor if on testosterone therapy, as testosterone can convert to estradiol.",Why is an optimal level important?,"Optimal estradiol supports bone health, cardiovascular protection, brain function, and overall well-being.
 
 Levels vary significantly by sex, age, and (for women) menstrual cycle timing—interpretation requires context.",What is Estradiol?,"Estradiol is the primary estrogen. Men produce small amounts that are important for bone health, libido, and brain function.
 
 Most male estradiol comes from converting testosterone through an enzyme called aromatase.",Why does it matter?,"Too little estradiol in men can cause bone loss and joint pain. Too much can cause water retention, mood changes, and gynecomastia.
 
 Optimal for men: 20-35 pg/mL. This is especially important to monitor during testosterone therapy.",Why is an optimal level important?,"Optimal estradiol for men (20-35 pg/mL) supports bone and brain health while avoiding excess estrogen effects.
 
 If too high, reducing body fat (which contains aromatase) or medical interventions can help. If too low during TRT, dose adjustments may be needed.",What is Estradiol?,"Estradiol is your primary estrogen. It regulates your menstrual cycle, maintains bone density, supports vaginal and skin health, and protects your heart and brain.
 
 Levels fluctuate dramatically throughout your cycle and decline significantly with menopause.",Why does it matter?,"Low estradiol causes hot flashes, vaginal dryness, bone loss, mood changes, and cognitive effects. Timing matters—levels vary from 30 to 400+ pg/mL depending on your cycle phase.
 
 Post-menopause, levels drop below 30 pg/mL.",Why is an optimal level important?,"Optimal estradiol for your life stage protects bones, heart, and brain while supporting quality of life.
 
 If symptomatic from low estradiol (especially in perimenopause or menopause), hormone therapy is an option to discuss with your doctor."
FSH,Marker,Yes,What is FSH?,"FSH (follicle-stimulating hormone) comes from your pituitary gland. In women, it drives egg development. In men, it stimulates sperm production.
 
 It's part of the feedback loop between your brain and reproductive organs.",Why does it matter?,"In women: Rising FSH indicates approaching menopause. Very high FSH confirms menopause.
 
 In men: Elevated FSH with low testosterone suggests the testes aren't responding properly. This distinction guides treatment decisions.",Why is an optimal level important?,"Optimal FSH indicates healthy communication between your pituitary and reproductive organs.
 
 Abnormal FSH helps distinguish between primary gonadal problems versus pituitary/hypothalamic issues—guiding appropriate treatment.",What is FSH?,"FSH (follicle-stimulating hormone) comes from your pituitary gland and stimulates sperm production in your testes.
 
 It's part of the feedback loop that regulates testosterone production.",Why does it matter?,"Elevated FSH with low testosterone suggests your testes aren't responding properly (primary hypogonadism). Normal/low FSH with low testosterone suggests a pituitary issue (secondary hypogonadism).
 
 This distinction determines treatment approach.",Why is an optimal level important?,"Optimal FSH (1.5-12.4 mIU/mL) indicates healthy testicular function and proper pituitary signaling.
 
 If trying to conceive, FSH is important for assessing sperm production capacity.",What is FSH?,"FSH (follicle-stimulating hormone) comes from your pituitary gland and drives egg development in your ovaries.
 
 It fluctuates throughout your cycle, lowest mid-cycle and rising as you approach menopause.",Why does it matter?,"Rising FSH is one of the first signs of approaching menopause—your pituitary is 'shouting louder' at aging ovaries. FSH above 25-30 typically indicates perimenopause; above 40 confirms menopause.
 
 FSH also helps assess fertility.",Why is an optimal level important?,"Optimal FSH for your age and life stage indicates healthy ovarian reserve and proper hormonal feedback.
 
 Tracking FSH can help predict and prepare for menopausal transition, allowing proactive management of symptoms."
LH,Marker,Yes,What is LH?,"LH (luteinizing hormone) triggers ovulation in women and testosterone production in men. It works alongside FSH to regulate reproduction.
 
 In women, the LH surge triggers ovulation mid-cycle.",Why does it matter?,"In women: LH helps track ovulation for fertility. Abnormal LH/FSH ratios may indicate PCOS.
 
 In men: High LH with low testosterone suggests the testes aren't responding. Low LH with low testosterone suggests a pituitary issue.",Why is an optimal level important?,"Optimal LH indicates proper pituitary signaling and healthy gonadal response.
 
 Like FSH, LH helps distinguish primary from secondary hormonal problems—essential for choosing the right treatment approach.",What is LH?,"LH (luteinizing hormone) from your pituitary gland tells your testes to produce testosterone.
 
 It works alongside FSH to regulate male hormone production.",Why does it matter?,"High LH with low testosterone means your testes aren't responding (primary hypogonadism). Low LH with low testosterone means your pituitary isn't signaling properly (secondary hypogonadism).
 
 This determines treatment approach—testosterone vs. medications that stimulate natural production.",Why is an optimal level important?,"Optimal LH (1.7-8.6 mIU/mL) indicates your pituitary is appropriately signaling and your testes are responding.
 
 During testosterone therapy, LH is suppressed—if fertility preservation matters, this needs to be considered.",What is LH?,"LH (luteinizing hormone) triggers ovulation. The mid-cycle LH surge releases the egg from your ovary.
 
 It works alongside FSH to regulate your menstrual cycle and hormone production.",Why does it matter?,"The LH surge is used to predict ovulation in fertility tracking. Abnormally high baseline LH relative to FSH may indicate PCOS.
 
 Like FSH, LH rises with menopause as your pituitary works harder to stimulate aging ovaries.",Why is an optimal level important?,"Optimal LH varies dramatically through your cycle—what matters is the pattern and ratio to FSH.
 
 An LH/FSH ratio above 2-3 (outside the ovulatory surge) may suggest PCOS and warrant further evaluation."
Progesterone,Marker,Yes,What is Progesterone?,"Progesterone prepares your uterus for pregnancy and maintains early pregnancy. It's produced after ovulation, and levels rise in the second half of the menstrual cycle.
 
 In men, small amounts are produced by the adrenals.",Why does it matter?,"In women: Low progesterone can cause PMS symptoms, irregular periods, and difficulty maintaining pregnancy. Timing matters—it should be measured 7 days after ovulation.
 
 For men: It's rarely a primary concern but helpful in complete hormone assessments.",Why is an optimal level important?,"Optimal progesterone (at the right cycle time) indicates healthy ovulation and luteal function.
 
 For women with PMS, heavy periods, or fertility challenges, progesterone status is often a key piece of the puzzle.",What is Progesterone?,"Progesterone is produced in small amounts by the adrenal glands in men. It serves as a precursor to other hormones and has calming effects.
 
 It's not typically a focus in men's health but is included in comprehensive panels.",Why does it matter?,"In men, progesterone plays a minor role compared to testosterone. Very low levels might suggest adrenal insufficiency. Very high levels are uncommon and would warrant investigation.
 
 It's mainly useful for completing the full hormone picture.",Why is an optimal level important?,"For men, progesterone in normal range supports overall hormonal balance and may have calming effects.
 
 Abnormal levels are uncommon but can point to adrenal issues worth investigating.",What is Progesterone?,"Progesterone prepares your uterus for pregnancy and maintains early pregnancy. After ovulation, your corpus luteum produces progesterone, causing the rise in the second half of your cycle.
 
 It also has calming, anti-anxiety effects.",Why does it matter?,"Low progesterone can cause PMS symptoms (especially anxiety and mood swings), heavy periods, spotting before your period, and difficulty maintaining pregnancy.
 
 Timing matters—it should be measured about 7 days after ovulation (around day 21 of a 28-day cycle).",Why is an optimal level important?,"Optimal progesterone in the luteal phase (above 10-15 ng/mL) indicates healthy ovulation and supports pregnancy if conception occurs.
 
 If low, progesterone support may help with PMS symptoms, cycle regularity, and fertility."
Prolactin,Marker,Yes,What is Prolactin?,"Prolactin stimulates breast milk production. In non-pregnant, non-breastfeeding people, it should be relatively low.
 
 Elevated prolactin can suppress other hormones, affecting fertility and libido.",Why does it matter?,"High prolactin can cause irregular periods, infertility, low libido, and erectile dysfunction. Common causes include medications, stress, thyroid problems, and pituitary tumors (usually benign).
 
 If elevated, there's usually a treatable cause.",Why is an optimal level important?,"Optimal prolactin allows normal function of other reproductive hormones.
 
 Elevated prolactin is almost always treatable—identifying the cause (medication, thyroid, pituitary adenoma) guides effective treatment.",What is Prolactin?,"Prolactin is primarily known for stimulating breast milk, but men produce it too. In men, elevated prolactin suppresses testosterone production.
 
 It should be relatively low in men.",Why does it matter?,"High prolactin in men can cause low libido, erectile dysfunction, infertility, and even breast tissue growth. It also suppresses testosterone.
 
 Common causes: medications (especially psychiatric drugs), pituitary tumors, or chronic stress.",Why is an optimal level important?,"Optimal prolactin under 15 ng/mL in men allows healthy testosterone production and sexual function.
 
 If elevated, investigation for underlying cause is important—most causes are treatable.",What is Prolactin?,"Prolactin stimulates breast milk production. Outside of pregnancy and breastfeeding, it should be relatively low.
 
 Elevated prolactin suppresses ovulation and can affect fertility.",Why does it matter?,"High prolactin can cause irregular periods, missed periods, infertility, low libido, and sometimes milky breast discharge.
 
 Common causes: pregnancy, breastfeeding, stress, thyroid problems, medications, or pituitary tumors (usually benign).",Why is an optimal level important?,"Optimal prolactin (under 25 ng/mL when not pregnant/breastfeeding) allows normal ovulation and menstrual cycles.
 
 If elevated, identifying the cause leads to effective treatment—most causes are very treatable."
DHEA-S,Marker,Yes,What is DHEA-S?,"DHEA-S is a hormone produced by your adrenal glands. It's a precursor—your body converts it into testosterone and estrogen as needed.
 
 DHEA-S declines steadily with age, which has made it a target of longevity research.",Why does it matter?,"Low DHEA-S is associated with fatigue, low libido, depression, and cognitive decline. Some consider it a marker of 'adrenal reserve.'
 
 Knowing your level helps determine if DHEA optimization makes sense for you.",Why is an optimal level important?,"Optimal DHEA-S for your age supports energy, immune function, and provides substrate for sex hormone production.
 
 DHEA supplementation is available over-the-counter, but testing before and during supplementation ensures appropriate dosing.",What is DHEA-S?,"DHEA-S is produced by your adrenal glands and serves as a precursor to testosterone. Men typically have higher levels than women.
 
 It declines steadily with age—levels at 70 are about 20% of what they were at 25.",Why does it matter?,"Low DHEA-S in men is associated with fatigue, low libido, depression, and reduced immune function.
 
 Optimal levels for men vary by age—what's normal at 25 is different from what's normal at 60.",Why is an optimal level important?,"Optimal DHEA-S provides your body with adequate precursor for testosterone production and supports overall vitality.
 
 Supplementation is possible but should be guided by testing—excess DHEA can convert to estrogen.",What is DHEA-S?,"DHEA-S is produced by your adrenal glands and serves as a precursor to both testosterone and estrogen.
 
 It declines steadily with age and can be particularly relevant as ovarian hormone production decreases with menopause.",Why does it matter?,"Low DHEA-S in women is associated with fatigue, low libido, mood changes, and bone loss. It becomes relatively more important after menopause.
 
 Very high DHEA-S may indicate PCOS or adrenal issues.",Why is an optimal level important?,"Optimal DHEA-S provides your body with precursor hormones, supporting energy, libido, and bone health—especially important as ovarian hormone production declines.
 
 Supplementation may help some women but should be guided by testing."
Vitamin B12,Marker,No,What is Vitamin B12?,"Vitamin B12 is essential for nerve function, red blood cell production, and DNA synthesis. Your body can't make it—you get it from animal products or supplements.
 
 It's stored in the liver, so deficiency develops slowly.",Why does it matter?,"B12 deficiency causes fatigue, weakness, nerve damage, cognitive problems, and anemia. It's common in vegetarians/vegans and older adults.
 
 Optimal B12 is likely higher than 'normal' suggests. Many practitioners aim for levels above 500 pg/mL.",Why is an optimal level important?,"Optimal B12 (500-1000 pg/mL) ensures healthy nerve function, energy production, and methylation—a critical cellular process.
 
 Deficiency is easily corrected with supplements or injections. Catching it early prevents irreversible nerve damage.",,,,,,,,,,,,
PSA Profile (Free + Total),Marker,Yes (Male only),What is PSA?,"PSA (prostate-specific antigen) is a protein produced by the prostate gland. The PSA test measures this level as a screening tool for prostate health.
 
 The ratio of Free to Total PSA helps distinguish cancer from benign conditions.",Why does it matter?,"Elevated PSA can indicate prostate cancer, but also benign enlargement or prostatitis. The Free PSA percentage helps—higher free PSA suggests benign causes.
 
 PSA screening is recommended for men over 50, or earlier if you have risk factors.",Why is an optimal level important?,"Optimal PSA (under 2.5 ng/mL for most men, with Free PSA above 25%) indicates low risk of prostate cancer.
 
 Regular monitoring establishes your baseline—changes over time (PSA velocity) are often more meaningful than a single value.",What is PSA?,"PSA (prostate-specific antigen) is a protein produced by your prostate gland. It's the primary screening test for prostate health.
 
 The ratio of Free to Total PSA helps distinguish cancer from benign causes of elevation.",Why does it matter?,"Elevated PSA can indicate prostate cancer, but most elevations are from benign enlargement (BPH) or inflammation. Free PSA percentage helps distinguish—higher free PSA suggests benign causes.
 
 Screening typically starts at 50, or earlier with risk factors.",Why is an optimal level important?,"Optimal PSA under 2.5 ng/mL with Free PSA above 25% indicates low prostate cancer risk.
 
 Establishing your baseline and tracking changes (PSA velocity) is more valuable than any single reading. Testosterone therapy may increase PSA—monitoring is important.",,,,,,
Homocysteine,Marker,No,What is Homocysteine?,"Homocysteine is an amino acid produced during protein metabolism. Your body normally converts it into other substances using B vitamins (B12, folate, B6).
 
 It's a marker of both cardiovascular risk and B vitamin status.",Why does it matter?,"Elevated homocysteine damages blood vessel walls and increases clotting risk. It's associated with heart disease, stroke, and cognitive decline.
 
 Target: Under 10 μmol/L. Elevated levels often respond well to B vitamin supplementation.",Why is an optimal level important?,"Optimal homocysteine under 8 μmol/L indicates efficient B vitamin metabolism and reduced vascular and cognitive risk.
 
 This is one of the most treatable risk factors—B vitamins (especially methylated forms) can normalize levels in most people.",,,,,,,,,,,,
Anti-TPO,Marker,No,What is Anti-TPO?,"Anti-TPO (thyroid peroxidase antibodies) are immune proteins that attack your thyroid. They indicate autoimmune thyroid disease—specifically Hashimoto's thyroiditis.
 
 You can have these antibodies for years before thyroid function actually changes.",Why does it matter?,"Elevated Anti-TPO means your immune system is attacking your thyroid. Even with normal TSH, it predicts future thyroid problems.
 
 If you have symptoms but normal thyroid labs, Anti-TPO can explain why.",Why is an optimal level important?,"Optimal Anti-TPO (undetectable or very low) indicates no autoimmune thyroid activity.
 
 If elevated, monitoring thyroid function more closely is warranted. Some evidence suggests addressing gut health and inflammation may reduce antibody levels.",,,,,,,,,,,,
Anti-Thyroglobulin,Marker,No,What is Anti-Thyroglobulin?,"Anti-Thyroglobulin antibodies attack thyroglobulin—a protein your thyroid uses to make hormones. Like Anti-TPO, they indicate autoimmune thyroid disease.
 
 Some people have one antibody without the other. Testing both gives a complete picture.",Why does it matter?,"Elevated TgAb confirms autoimmune thyroid activity. Combined with Anti-TPO, it strongly suggests Hashimoto's thyroiditis.
 
 In people treated for thyroid cancer, TgAb can interfere with monitoring.",Why is an optimal level important?,"Optimal Anti-Thyroglobulin (undetectable or very low) indicates no autoimmune thyroid activity.
 
 Elevation predicts future thyroid dysfunction and warrants closer monitoring, even if current thyroid function is normal.",,,,,,,,,,,,
